,symbol_id,simillar_symbol_id,score
0,095570.KS,071050.KS,0.002166
1,095570.KS,005950.KS,0.002144
2,095570.KS,8424.T,0.001952
3,095570.KS,093050.KS,0.001933
4,095570.KS,097230.KS,0.001914
5,006840.KS,010060.KS,0.005961
6,006840.KS,006650.KS,0.005525
7,006840.KS,006800.KS,0.00542
8,006840.KS,069260.KS,0.00536
9,006840.KS,089590.KS,0.005288
10,282330.KS,007070.KS,0.018587
11,282330.KS,139480.KS,0.017426
12,282330.KS,051900.KS,0.015389
13,282330.KS,271560.KS,0.015022
14,282330.KS,090430.KS,0.013343
15,027410.KS,007070.KS,0.007805
16,027410.KS,009240.KS,0.006091
17,027410.KS,139480.KS,0.006077
18,027410.KS,069960.KS,0.005483
19,027410.KS,051900.KS,0.005415
20,138930.KS,086790.KS,0.025283
21,138930.KS,024110.KS,0.024082
22,138930.KS,105560.KS,0.022737
23,138930.KS,139130.KS,0.022326
24,138930.KS,055550.KS,0.020888
25,001465.KS,001460.KS,0.005305
26,001465.KS,001275.KS,0.005119
27,001465.KS,009415.KS,0.005068
28,001465.KS,004365.KS,0.004909
29,001465.KS,000215.KS,0.004863
30,001460.KS,001465.KS,0.005305
31,001460.KS,001270.KS,0.005275
32,001460.KS,001040.KS,0.005236
33,001460.KS,000210.KS,0.005205
34,001460.KS,001680.KS,0.004912
35,001045.KS,001040.KS,0.012361
36,001045.KS,000815.KS,0.010131
37,001045.KS,097955.KS,0.009937
38,001045.KS,003555.KS,0.009846
39,001045.KS,071055.KS,0.009549
40,00104K.KS,001040.KS,0.004893
41,00104K.KS,001045.KS,0.004847
42,00104K.KS,078935.KS,0.004085
43,00104K.KS,00088K.KS,0.004073
44,00104K.KS,028260.KS,0.003898
45,001040.KS,002790.KS,0.041938
46,001040.KS,023530.KS,0.037154
47,001040.KS,004170.KS,0.032676
48,001040.KS,000810.KS,0.030762
49,001040.KS,000210.KS,0.029276
50,011155.KS,001685.KS,0.004502
51,011155.KS,011150.KS,0.004106
52,011155.KS,003925.KS,0.003708
53,011155.KS,005305.KS,0.003687
54,011155.KS,008775.KS,0.003684
55,011150.KS,004410.KS,0.00543
56,011150.KS,001680.KS,0.00453
57,011150.KS,007310.KS,0.004427
58,011150.KS,007540.KS,0.004294
59,011150.KS,010140.KS,0.004261
60,000590.KS,000430.KS,0.006845
61,000590.KS,000320.KS,0.006836
62,000590.KS,000500.KS,0.006668
63,000590.KS,000890.KS,0.006638
64,000590.KS,000480.KS,0.006603
65,012030.KS,016380.KS,0.004915
66,012030.KS,000990.KS,0.004878
67,012030.KS,005830.KS,0.00477
68,012030.KS,011780.KS,0.004308
69,012030.KS,013570.KS,0.004277
70,016610.KS,016360.KS,0.009269
71,016610.KS,005940.KS,0.007706
72,016610.KS,006800.KS,0.007366
73,016610.KS,005830.KS,0.006783
